"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Christian McCaffrey (CAR)","287","1,387","4.8","84","6","15","116","142","1,005","8.7","4","0","16","413.2","25.8","99.9%"
"2","Aaron Jones (GB)","236","1,084","4.6","56","5","16","49","68","474","9.7","3","2","16","290.3","18.1","99.7%"
"3","Derrick Henry (TEN)","303","1,540","5.1","74","9","16","18","24","206","11.4","2","3","15","285.6","19.0","99.9%"
"4","Ezekiel Elliott (DAL)","301","1,357","4.5","33","4","12","54","71","420","7.8","2","2","16","284.7","17.8","99.6%"
"5","Dalvin Cook (MIN)","250","1,135","4.5","75","7","13","53","63","519","9.8","0","2","14","265.9","19.0","99.9%"
"6","Austin Ekeler (LAC)","132","557","4.2","35","4","3","92","108","993","10.8","8","2","16","263.0","16.4","99.3%"
"7","Nick Chubb (CLE)","298","1,494","5.0","88","11","8","36","49","278","7.7","0","3","16","237.2","14.8","99.8%"
"8","Mark Ingram II (HOU)","202","1,018","5.0","53","6","10","26","29","247","9.5","5","2","15","229.5","15.3","2.8%"
"9","Leonard Fournette (TB)","265","1,152","4.3","81","7","3","76","100","522","6.9","0","1","15","221.4","14.8","85.8%"
"10","Saquon Barkley (NYG)","217","1,003","4.6","68","8","6","52","73","438","8.4","2","0","13","218.1","16.8","99.8%"
"11","Chris Carson (SEA)","278","1,230","4.4","59","8","7","37","47","266","7.2","2","4","15","214.1","14.3","97.0%"
"12","Alvin Kamara (NO)","171","797","4.7","40","5","5","81","97","533","6.6","1","1","14","208.0","14.9","99.9%"
"13","Joe Mixon (CIN)","278","1,137","4.1","41","6","5","35","45","287","8.2","3","0","16","207.9","13.0","98.6%"
"14","Todd Gurley II (FA)","223","857","3.8","25","5","12","31","49","207","6.7","2","2","15","203.9","13.6","5.5%"
"15","Miles Sanders (PHI)","179","818","4.6","65","5","3","50","63","509","10.2","3","1","16","193.7","12.1","98.1%"
"16","Kenyan Drake (LV)","170","817","4.8","80","4","8","50","68","345","6.9","0","1","14","189.2","13.5","77.8%"
"17","Le'Veon Bell (FA)","245","789","3.2","19","0","3","66","78","461","7.0","1","1","15","182.0","12.1","2.1%"
"18","Josh Jacobs (LV)","242","1,150","4.8","51","8","7","20","27","166","8.3","0","1","13","181.6","14.0","98.3%"
"19","Phillip Lindsay (HOU)","224","1,011","4.5","40","7","7","35","48","196","5.6","0","0","16","180.2","11.3","15.0%"
"20","Marlon Mack (IND)","247","1,091","4.4","63","9","8","14","17","82","5.9","0","0","14","174.3","12.5","4.4%"
"21","Devonta Freeman (NO)","184","656","3.6","28","3","2","59","70","410","6.9","4","2","14","168.1","12.0","0.5%"
"22","James White (NE)","67","263","3.9","32","1","1","72","95","645","9.0","5","1","15","164.2","10.9","24.9%"
"23","Melvin Gordon III (DEN)","162","612","3.8","24","2","8","42","55","296","7.0","1","3","12","159.8","13.3","81.9%"
"24","Raheem Mostert (SF)","137","772","5.6","41","3","8","14","22","180","12.9","2","2","16","158.2","9.9","87.6%"
"25","David Montgomery (CHI)","242","889","3.7","55","3","6","25","35","185","7.4","1","2","16","157.9","9.9","96.9%"
"26","Ronald Jones II (TB)","172","724","4.2","49","6","6","31","40","309","10.0","0","2","16","150.8","9.4","73.5%"
"27","Carlos Hyde (JAC)","245","1,070","4.4","58","8","6","10","16","42","4.2","0","2","16","148.2","9.3","1.2%"
"28","Sony Michel (NE)","247","912","3.7","26","3","7","12","20","94","7.8","0","1","16","146.6","9.2","7.4%"
"29","Latavius Murray (NO)","146","637","4.4","30","3","5","34","43","235","6.9","1","0","16","140.2","8.8","22.8%"
"30","Adrian Peterson (FA)","211","898","4.3","32","6","5","17","23","142","8.4","0","2","16","138.5","8.7","0.6%"
"31","Devin Singletary (BUF)","151","775","5.1","38","7","2","29","41","194","6.7","2","1","12","133.4","11.1","51.5%"
"32","Duke Johnson Jr. (FA)","83","410","4.9","40","3","2","44","62","410","9.3","3","1","16","132.0","8.3","1.6%"
"33","James Conner (ARI)","116","464","4.0","25","2","4","34","38","251","7.4","3","1","10","128.5","12.9","73.8%"
"34","Jamaal Williams (DET)","107","460","4.3","45","1","1","39","45","253","6.5","5","0","14","126.8","9.1","36.5%"
"35","Damien Williams (CHI)","111","498","4.5","91","2","5","30","37","213","7.1","2","1","11","126.1","11.5","2.4%"
"36","Tevin Coleman (NYJ)","137","544","4.0","48","4","6","21","30","180","8.6","1","0","14","124.9","8.9","15.0%"
"37","Tarik Cohen (CHI)","64","213","3.3","19","0","0","79","104","456","5.8","3","0","16","124.4","7.8","25.6%"
"38","David Johnson (HOU)","94","345","3.7","18","0","2","36","47","370","10.3","4","1","13","123.5","9.5","84.0%"
"39","Royce Freeman (DEN)","132","496","3.8","26","1","3","43","50","256","6.0","1","0","16","120.7","7.5","0.3%"
"40","Peyton Barber (WAS)","154","470","3.1","17","0","6","16","24","115","7.2","1","1","16","108.5","6.8","0.7%"
"41","Jordan Howard (PHI)","119","525","4.4","20","1","6","10","14","69","6.9","1","0","10","106.4","10.6","0.3%"
"42","LeSean McCoy (FA)","101","465","4.6","39","4","4","28","34","181","6.5","1","2","13","104.6","8.0","0.1%"
"43","DeAndre Washington (FA)","108","387","3.6","36","1","3","36","41","292","8.1","0","0","16","103.9","6.5","0.0%"
"44","Nyheim Hines (IND)","52","199","3.8","18","0","2","44","58","320","7.3","0","1","16","95.9","6.0","55.5%"
"45","Matt Breida (BUF)","123","623","5.1","83","4","1","19","22","120","6.3","1","1","13","93.8","7.2","0.8%"
"46","Gus Edwards (BAL)","133","711","5.3","63","5","2","7","7","45","6.4","0","1","16","89.1","5.6","19.0%"
"47","Frank Gore (FA)","166","599","3.6","41","4","2","13","16","100","7.7","0","0","16","88.4","5.5","0.2%"
"48","Rex Burkhead (HOU)","65","302","4.6","33","1","3","27","38","279","10.3","0","1","13","87.6","6.7","0.7%"
"49","Boston Scott (PHI)","61","245","4.0","25","1","5","24","26","204","8.5","0","1","11","84.9","7.7","1.6%"
"50","Kareem Hunt (CLE)","43","179","4.2","16","0","2","37","44","285","7.7","1","0","9","82.9","9.2","92.0%"
"51","Jaylen Samuels (PIT)","66","175","2.7","13","0","1","47","57","305","6.5","1","1","14","81.9","5.9","0.5%"
"52","Tony Pollard (DAL)","86","455","5.3","44","4","2","15","20","107","7.1","1","1","15","81.7","5.4","22.1%"
"53","Kerryon Johnson (PHI)","113","403","3.6","20","1","3","10","15","127","12.7","1","1","8","80.0","10.0","1.7%"
"54","Chase Edmonds (ARI)","60","303","5.1","37","4","4","12","21","105","8.8","1","0","13","76.8","5.9","89.5%"
"55","Chris Thompson (FA)","37","138","3.7","16","0","0","42","58","378","9.0","0","0","11","72.6","6.6","0.1%"
"56","Rashaad Penny (SEA)","65","370","5.7","58","4","3","8","11","83","10.4","1","1","10","71.3","7.1","6.6%"
"57","J.D. McKissic (WAS)","38","205","5.4","44","2","0","34","42","233","6.9","1","0","16","66.8","4.2","46.4%"
"58","Jalen Richard (LV)","39","145","3.7","13","0","0","36","43","323","9.0","0","0","16","64.8","4.1","0.5%"
"59","Alexander Mattison (MIN)","100","462","4.6","35","4","1","10","12","82","8.2","0","1","13","63.4","4.9","20.8%"
"60","Brian Hill (TEN)","78","323","4.1","27","2","2","10","14","69","6.9","1","0","12","62.2","5.2","0.3%"
"61","Darrel Williams (KC)","41","141","3.4","41","1","3","15","20","167","11.1","1","1","12","60.3","5.0","10.5%"
"62","Malcolm Brown (MIA)","69","255","3.7","17","0","5","2","6","16","8.0","0","0","14","58.1","4.2","2.4%"
"63","Dare Ogunbowale (JAC)","11","17","1.5","12","0","2","35","46","286","8.2","0","1","16","57.8","3.6","0.1%"
"64","Patrick Laird (MIA)","62","168","2.7","18","0","1","23","30","204","8.9","0","0","15","56.7","3.8","0.1%"
"65","Benny Snell Jr. (PIT)","108","426","3.9","23","3","2","3","4","23","7.7","0","1","13","56.4","4.3","3.2%"
"66","Derrius Guice (FA)","42","245","5.8","60","3","2","7","9","79","11.3","1","0","5","53.9","10.8","0.2%"
"67","Dion Lewis (FA)","54","209","3.9","17","0","0","25","32","164","6.6","1","1","16","53.8","3.4","0.1%"
"68","Giovani Bernard (TB)","53","170","3.2","25","1","0","30","43","234","7.8","0","1","16","53.4","3.3","7.1%"
"69","Jordan Wilkins (IND)","51","307","6.0","55","2","2","7","11","43","6.1","0","0","14","50.5","3.6","0.2%"
"70","Mike Boone (DEN)","49","273","5.6","59","3","3","3","4","17","5.7","0","0","16","48.5","3.0","0.4%"
"71","Ty Johnson (NYJ)","63","273","4.3","40","1","0","24","31","109","4.5","0","1","16","48.2","3.0","2.4%"
"72","Brandon Bolden (NE)","15","68","4.5","21","1","3","9","11","111","12.3","1","0","15","46.4","3.1","0.0%"
"73","Justice Hill (BAL)","58","225","3.9","18","0","2","8","15","70","8.8","0","0","16","45.5","2.8","0.5%"
"74","Jeff Wilson Jr. (SF)","27","105","3.9","25","1","4","3","5","34","11.3","1","0","11","45.4","4.1","4.6%"
"75","Kalen Ballage (PIT)","74","135","1.8","8","0","3","14","24","63","4.5","0","0","12","44.8","3.7","0.3%"
"76","Ryquell Armstead (FA)","35","108","3.1","16","0","0","14","24","144","10.3","2","0","16","44.2","2.8","0.1%"
"77","Bo Scarbrough (FA)","89","377","4.2","30","2","1","1","4","5","5.0","0","1","6","42.7","7.1","0.0%"
"78","Wayne Gallman (SF)","29","110","3.8","22","1","2","11","16","102","9.3","1","1","10","42.7","4.3","2.9%"
"79","Kyle Juszczyk (SF)","3","7","2.3","6","0","0","20","24","239","12.0","1","0","12","40.6","3.4","1.1%"
"80","Jonathan Williams (WAS)","49","235","4.8","48","1","1","5","5","59","11.8","0","0","9","37.9","4.2","0.0%"
"81","Mark Walton (FA)","53","201","3.8","19","0","0","15","21","89","5.9","0","1","7","34.5","4.9","0.0%"
"82","Dontrell Hilliard (HOU)","13","49","3.8","11","0","2","12","15","92","7.7","0","0","14","32.1","2.3","0.0%"
"83","Ameer Abdullah (MIN)","23","115","5.0","15","0","0","15","21","88","5.9","1","1","16","31.8","2.0","0.6%"
"84","Ito Smith (FA)","22","106","4.8","28","1","1","11","14","87","7.9","0","0","7","30.8","4.4","0.5%"
"85","Qadree Ollison (ATL)","22","50","2.3","6","0","4","1","2","7","7.0","0","0","8","30.2","3.8","1.3%"
"86","Bilal Powell (FA)","59","229","3.9","17","0","0","7","12","33","4.7","0","0","14","29.7","2.1","0.0%"
"87","C.J. Ham (MIN)","7","17","2.4","9","0","0","17","26","149","8.8","1","1","16","29.1","1.8","0.1%"
"88","Myles Gaskin (MIA)","36","133","3.7","27","1","1","7","12","51","7.3","0","0","7","27.9","4.0","93.8%"
"89","Darwin Thompson (KC)","37","128","3.5","12","0","1","9","10","43","4.8","0","0","12","27.6","2.3","0.2%"
"90","Justin Jackson (LAC)","29","200","6.9","40","3","0","9","11","22","2.4","0","0","7","26.7","3.8","3.0%"
"91","Reggie Bonnafon (CAR)","16","116","7.3","59","1","1","6","10","57","9.5","0","0","16","26.3","1.6","0.1%"
"92","Ty Montgomery (NO)","32","103","3.2","15","0","0","13","17","90","6.9","0","0","16","25.8","1.6","0.4%"
"93","C.J. Prosise (TB)","23","72","3.1","17","0","1","10","12","76","7.6","0","1","9","23.8","2.6","0.1%"
"94","T.J. Yeldon (FA)","17","63","3.7","12","0","0","13","15","124","9.5","0","1","6","23.2","3.9","0.0%"
"95","Travis Homer (SEA)","18","114","6.3","29","1","0","11","13","56","5.1","0","0","16","22.5","1.4","0.5%"
"96","Darrell Henderson (LAR)","39","147","3.8","22","1","0","4","6","37","9.3","0","0","13","20.4","1.6","76.2%"
"97","Wendell Smallwood (FA)","22","81","3.7","17","0","0","9","13","64","7.1","0","0","15","19.0","1.3","0.0%"
"98","Trey Edmunds (PIT)","22","92","4.2","45","1","0","6","7","48","8.0","0","0","12","17.0","1.4","0.0%"
"99","Wes Hills (FA)","10","21","2.1","15","0","2","2","2","1","0.5","0","0","1","15.2","15.2","0.1%"
"100","Alec Ingold (LV)","10","17","1.7","4","0","0","6","6","44","7.3","1","0","16","15.1","0.9","0.1%"
"101","Darren Sproles (FA)","17","66","3.9","17","0","0","6","10","24","4.0","0","0","6","14.0","2.3","0.1%"
"102","Kerrith Whyte Jr. (FA)","24","122","5.1","21","1","0","1","1","9","9.0","0","0","6","13.6","2.3","0.0%"
"103","Danny Vitale (FA)","1","3","3.0","3","0","0","7","12","97","13.9","0","0","15","13.5","0.9","0.0%"
"104","Andy Janovich (CLE)","1","1","1.0","1","0","1","5","5","42","8.4","0","0","8","12.8","1.6","0.1%"
"105","D'Ernest Johnson (CLE)","4","21","5.3","13","0","0","6","7","71","11.8","0","0","16","12.2","0.8","0.6%"
"106","Kenjon Barner (FA)","4","28","7.0","12","0","0","6","8","22","3.7","0","1","14","12.1","0.9","0.0%"
"107","Derek Watt (PIT)","7","10","1.4","3","0","1","3","5","32","10.7","0","0","16","11.7","0.7","0.1%"
"108","Javorius Allen (FA)","10","36","3.6","19","0","1","1","2","9","9.0","0","0","11","11.0","1.0","0.1%"
"109","Spencer Ware (FA)","17","51","3.0","6","0","0","5","7","22","4.4","0","0","3","9.8","3.3","0.0%"
"110","Devontae Booker (NYG)","2","9","4.5","5","0","0","6","9","57","9.5","0","0","16","9.6","0.6","4.8%"
"111","Marshawn Lynch (FA)","12","34","2.8","15","0","1","0","0","0","0","0","0","2","9.4","4.7","0.3%"
"112","Alex Armah (NO)","6","11","1.8","4","0","1","2","2","6","3.0","0","0","16","8.7","0.5","0.0%"
"113","Zach Line (FA)","7","20","2.9","5","0","0","6","10","36","6.0","0","0","12","8.6","0.7","0.0%"
"114","Tra Carson (FA)","18","48","2.7","12","0","0","4","4","18","4.5","0","0","4","8.6","2.2","0.0%"
"115","Mike Davis (ATL)","13","27","2.1","8","0","0","7","8","22","3.1","0","0","12","8.4","0.7","88.1%"
"116","Troymaine Pope (TB)","10","20","2.0","8","0","0","2","3","14","7.0","1","1","14","8.4","0.6","0.0%"
"117","Khari Blasingame (TEN)","0","0","0","0","0","0","4","5","54","13.5","0","0","6","7.4","1.2","0.0%"
"118","Patrick DiMarco (FA)","3","7","2.3","4","0","0","5","7","41","8.2","0","0","16","7.3","0.5","0.0%"
"119","Dwayne Washington (NO)","8","60","7.5","31","1","0","1","1","6","6.0","0","0","16","7.1","0.4","0.0%"
"120","Jon Hilliman (FA)","30","91","3.0","10","0","0","3","4","1","0.3","0","2","3","6.7","2.2","0.1%"
"121","Devine Ozigbo (JAC)","9","27","3.0","9","0","0","3","5","23","7.7","0","0","10","6.5","0.7","0.1%"
"122","Elijhaa Penny (NYG)","15","39","2.6","6","0","0","2","4","9","4.5","0","0","16","5.8","0.4","0.1%"
"123","Taiwan Jones (BUF)","9","40","4.4","11","0","0","1","1","9","9.0","0","0","11","5.4","0.5","0.1%"
"124","C.J. Anderson (FA)","16","43","2.7","9","0","0","0","0","0","0","0","0","2","4.3","2.2","0.0%"
"125","Paul Perkins (FA)","12","29","2.4","13","0","0","1","1","9","9.0","0","0","4","4.3","1.1","0.0%"
"126","Anthony Sherman (FA)","4","9","2.3","5","0","0","2","3","22","11.0","0","0","16","4.1","0.3","0.0%"
"127","Nick Bawden (FA)","0","0","0","0","0","0","4","6","17","4.3","0","0","10","3.7","0.4","0.0%"
"128","T.J. Logan (FA)","3","10","3.3","6","0","0","2","3","13","6.5","0","0","12","3.3","0.3","0.0%"
"129","Tyler Ervin (FA)","1","10","10.0","10","0","0","2","4","11","5.5","0","0","10","3.1","0.3","0.0%"
"130","Jay Ajayi (FA)","10","30","3.0","11","0","0","0","1","0","0","0","0","4","3.0","0.8","0.0%"
"131","Zach Zenner (FA)","3","-2","-0.7","1","0","0","2","3","19","9.5","0","0","6","2.7","0.5","0.0%"
"132","Dalyn Dawkins (DET)","11","26","2.4","14","0","0","0","1","0","0","0","0","2","2.6","1.3","0.1%"
"133","Keith Smith (ATL)","5","8","1.6","3","0","0","1","4","13","13.0","0","0","16","2.6","0.2","0.0%"
"134","Samaje Perine (CIN)","5","16","3.2","9","0","0","0","0","0","0","0","0","7","1.6","0.2","1.7%"
"135","Roosevelt Nix (FA)","0","0","0","0","0","0","2","3","4","2.0","0","0","3","1.4","0.5","0.0%"
"136","Ricky Ortiz (FA)","0","0","0","0","0","0","1","1","8","8.0","0","0","2","1.3","0.7","0.0%"
"137","Josh Adams (NYJ)","8","12","1.5","10","0","0","0","0","0","0","0","0","3","1.2","0.4","0.1%"
"138","Damien Harris (NE)","4","12","3.0","13","0","0","0","0","0","0","0","0","2","1.2","0.6","70.8%"
"139","Dexter Williams (GB)","5","11","2.2","5","0","0","0","0","0","0","0","0","4","1.1","0.3","0.2%"
"140","Buddy Howell (HOU)","5","10","2.0","4","0","0","0","0","0","0","0","0","16","1.0","0.1","0.0%"
"141","Jakob Johnson (NE)","0","0","0","0","0","0","1","2","5","5.0","0","0","4","1.0","0.3","0.0%"
"142","John Kelly (CLE)","3","9","3.0","6","0","0","0","0","0","0","0","0","5","0.9","0.2","0.0%"
"143","Josh Ferguson (FA)","3","9","3.0","7","0","0","0","0","0","0","0","0","2","0.9","0.5","0.0%"
"144","Jordan Scarlett (MIA)","4","9","2.3","6","0","0","0","0","0","0","0","0","9","0.9","0.1","0.0%"
"145","Senorise Perry (FA)","3","3","1.0","6","0","0","1","1","1","1.0","0","0","11","0.9","0.1","0.0%"
"146","Ryan Nall (CHI)","2","8","4.0","7","0","0","0","0","0","0","0","0","8","0.8","0.1","0.1%"
"147","Tony Brooks-James (PIT)","8","7","0.9","8","0","0","0","0","0","0","0","0","3","0.7","0.2","0.0%"
"148","De'Lance Turner (FA)","4","6","1.5","5","0","0","0","0","0","0","0","0","9","0.6","0.1","0.1%"
"149","Alfred Morris (NYG)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"150","James Develin (FA)","2","3","1.5","2","0","0","0","0","0","0","0","0","2","0.3","0.2","0.0%"
"151","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
